Beta max,Beta min,Beta mean,Beta std d,Beta Var,Alpha max,Alpha min,Alpha mean,Alpha std d,Alpha Var,Theta max,Theta min,Theta mean,Theta std d,Theta Var,Delta max,Delta min,Delta mean,Delta std d,Delta Var,Number
16.30151926,20.45586274,11.90028431,53.76809057,2.31E-05,6.60E-06,1.05E-06,9.30E-06,0.252356864,0.122465137,0.07884758,0.376867474,1.333384204,1.201357387,0.847387724,3.81838952,1.777913437,1.44325957,0.718065954,14.58009853,0
11.34472789,22.90760089,7.214694714,50.19975138,1.83E-06,4.81E-09,5.49E-06,7.85E-05,0.211127288,0.077723881,0.063349146,0.27122446,1.060846284,1.095659958,0.516477257,3.205171058,1.125394837,1.200470745,0.266748757,10.27312151,0
20.37235959,98.7081126,155.5446069,414.8207998,0.000173253,9.04E-09,6.11E-06,4.76E-07,0.37790165,0.526699854,0.975090383,1.150658356,1.939212029,5.338175473,10.18859466,18.81236362,3.760543292,28.49611738,103.8074611,353.9050251,0
23.80458207,61.78565792,34.83642959,6.288746191,3.14E-06,3.32E-06,5.54E-06,3.19E-07,0.323595441,0.281647677,0.199739682,0.030374689,1.936413095,3.198143725,2.313763292,0.385229561,3.749695676,10.22812329,5.353500572,0.148401815,0
55.08844581,175.7114537,336.4535975,417.1936055,0.000681382,5.92E-05,5.03E-06,1.16E-05,0.992365874,0.880576981,1.900362223,1.212017525,5.157170838,8.97360655,18.60444214,19.46913675,26.59641105,80.52561452,346.1252675,379.0472859,0
19.23190917,23.8001508,27.98063278,18.14438693,3.92E-05,5.61E-09,5.78E-07,0.000150753,0.295553152,0.155065943,0.16229858,0.121248527,1.547422388,1.492840019,1.776907466,1.24272425,2.394516046,2.228571322,3.157400143,1.544363562,0
28.14195761,66.78721128,23.62571506,11.82681321,0.000257782,6.62E-08,2.86E-05,1.32E-05,0.441809921,0.304976349,0.23233715,0.079055191,2.385623605,3.96154851,1.800272246,0.839046961,5.691199987,15.6938666,3.240980159,0.703999803,0
9.034008762,24.13281115,34.82875451,29.49356261,6.42E-07,5.93E-06,1.41E-05,3.53E-05,0.150606358,0.141271095,0.159695825,0.127766316,0.828090048,1.481534997,1.838784362,1.532105232,0.685733128,2.194945948,3.381127928,2.347346441,0
14.51171474,39.19441048,31.82481882,70.46660873,7.10E-06,2.45E-09,2.50E-06,0.000107401,0.259055884,0.211920819,0.15781762,0.469053718,1.414373422,2.312873858,1.7194197,5.194644949,2.000452178,5.349385484,2.956404104,26.98433615,0
50.13400656,53.26880482,57.48162975,72.65799858,1.72E-05,1.64E-05,8.20E-06,0.000107438,0.612415952,0.300353993,0.299906829,0.284880568,3.624021717,3.359445835,3.249785737,3.755087648,13.1335334,11.28587632,10.56110733,14.10068325,0
40.5583546,60.02613961,203.2095377,272.9976226,1.21E-05,2.38E-06,6.61E-05,0.000375135,0.4714745,0.388710753,1.431871849,1.045161756,2.694540681,3.748847986,13.57509573,13.69219486,7.260549484,14.05386122,184.283224,187.4762001,0
88.91027593,137.6648261,77.02196401,398.9280321,0.000669421,0.000160019,7.02E-05,0.000371683,0.798026151,0.715618122,0.510706512,1.844169311,5.127192292,7.515527618,4.753631279,21.95315458,26.2881008,56.48315537,22.59701033,481.9409961,0
50.08769177,155.4001432,339.5543992,1190.071282,4.24E-05,2.15E-05,8.84E-05,1.53E-05,0.531349486,0.658775385,1.76348641,4.272846203,3.180428242,7.891522132,19.94434184,58.1328274,10.1151238,62.27612156,397.7767716,3379.425622,0
63.2311586,70.58791276,97.64694233,434.9524894,0.000218304,5.19E-05,2.76E-07,0.001316593,0.606110861,0.519265989,0.68938209,2.221309136,3.827476837,4.974834758,6.786879836,24.38554685,14.64957894,24.74898087,46.06173791,594.6548954,0
13.93049248,12.86139415,18.57781233,7.879735386,1.04E-07,3.12E-05,1.40E-05,2.24E-06,0.221645895,0.075666559,0.131671615,0.044406064,1.114636056,0.751479748,1.27043645,0.488315085,1.242413538,0.564721812,1.614008773,0.238451622,0
13.10434714,56.52225446,123.283301,55.52062203,0.000173867,6.81E-06,7.89E-06,0.000122284,0.264956697,0.49495127,0.997358545,0.292586161,1.346039427,4.647741729,9.056526019,3.224338027,1.811822138,21.60150318,82.02066354,10.39635571,0
124.7895079,477.582379,458.8724616,497.1089596,2.94E-09,0.000228153,0.000107916,0.000380709,2.038919616,2.890911416,3.821513944,2.723208947,12.03365971,30.8784376,38.65736439,31.55073326,144.8089659,953.4779084,1494.391822,995.4487691,0
115.5925208,310.1477373,690.5889368,2657.272184,5.01E-06,7.16E-05,8.74E-05,0.000235315,1.765485165,1.917105145,2.725872182,12.2961317,9.464435633,19.37375405,33.4260028,145.983342,89.57554185,375.3423461,1117.297663,21311.13615,0
30.23814523,52.61997889,1332.942208,5171.974745,0.001126215,2.97E-08,4.98E-05,0.00151162,0.62614018,0.375698396,12.15834282,16.00026781,3.153530503,3.503516566,106.5890934,240.7207119,9.944754635,12.27462833,11361.23483,57946.46114,0
621.7780023,1130.641886,3248.910602,10663.23412,1.02E-05,0.000287811,6.00E-05,0.000488244,7.315521182,6.263949549,16.51006121,67.89088283,44.27043581,70.00476645,191.9500143,765.9215873,1959.871487,4900.667325,36844.80798,586635.878,0
9.020940077,9.771718509,46.26583508,16.31237872,0.000107667,4.02E-06,1.61E-05,0.000171546,0.261626382,0.052677815,0.174186467,0.109500487,1.227658289,0.553351551,2.17131238,1.090816633,1.507144875,0.306197939,4.714597452,1.189880927,0
66.46616855,266.4575074,3722.052753,13013.80152,3.77E-06,0.000153441,5.35E-06,0.000652586,1.075178277,1.726561773,23.33242849,49.89476074,5.967854195,17.17315006,234.618502,678.9552323,35.61528369,294.9170831,55045.84147,460980.2075,0
105.1049961,66.84300121,172.5406527,122.1115155,0.000894788,0.000139097,7.06E-05,0.000198128,0.887701971,0.417311193,1.225037536,0.736362508,6.302190254,3.992239879,11.31900459,7.768688621,39.71760199,15.93797926,128.119865,60.3525229,0
70.74061878,106.3530502,354.7244056,962.7562375,1.82E-06,0.000409182,8.63E-05,5.71E-05,0.731561897,0.867681335,2.585455463,3.305418713,4.418339212,8.05772829,24.00275283,47.38863927,19.52172139,64.9269852,576.1321435,2245.683132,0
9.447979589,19.85920926,18.99555623,41.78030823,0.000152161,3.90E-06,2.77E-05,0.000174297,0.220605483,0.114419554,0.145545152,0.200256281,1.083919585,1.131021539,1.382908808,2.63082772,1.174881667,1.279209721,1.912436773,6.921254495,0
14.11843614,37.51598142,88.26647755,20.66004045,1.05E-05,3.27E-05,1.03E-05,5.61E-05,0.227982205,0.187459909,0.443005721,0.123585531,1.205184156,2.022597554,5.091576343,1.344934417,1.452468849,4.090900867,25.92414966,1.808848585,0
16.31058995,33.46695089,90.70199324,25.79645303,5.67E-06,3.48E-07,4.71E-07,8.01E-05,0.248663478,0.200907326,0.443538685,0.126916465,1.303754072,1.93254415,5.283739476,1.438369719,1.69977468,3.734726892,27.91790285,2.068907448,0
18.07391419,26.91810468,49.23004591,131.9569226,2.77E-05,3.76E-07,6.18E-06,6.98E-05,0.399084233,0.119092611,0.237976883,0.650262626,1.978023823,1.418864153,2.699623424,8.189609189,3.912578244,2.013175484,7.287966633,67.06969866,0
30.26781334,19.34778584,60.72411523,83.85617,0.000154625,2.87E-07,4.58E-05,7.58E-05,0.45407104,0.135833375,0.265983576,0.25416684,2.276797486,1.267118231,3.052278118,3.825856573,5.183806793,1.605588612,9.316401712,14.63717852,0
10.76587584,31.2245498,7.642789496,7.920387282,3.65E-05,0.000104266,2.30E-07,9.62E-06,0.213265852,0.229312331,0.04476264,0.035079604,1.055456173,2.070788859,0.46528588,0.480002114,1.113987733,4.2881665,0.21649095,0.23040203,0
